id,name,type1,type2,hp,attack,defense,spatk,spdef,speed,ability1,ability2,hiden_ability
320,Hawlucha,Fighting,Flying,78,92,75,74,63,118,Limber,Unburden,Mold Breaker
321,Trapinch,Ground,,45,100,45,45,45,10,Hyper Cutter,Arena Trap,Sheer Force
322,Vibrava,Ground,Dragon,50,70,50,50,50,70,Levitate,,
323,Flygon,Ground,Dragon,80,100,80,80,80,100,Levitate,,
324,Axew,Dragon,,46,87,60,30,40,57,Rivalry,Mold Breaker,Unnerve
325,Fraxure,Dragon,,66,117,70,40,50,67,Rivalry,Mold Breaker,Unnerve
326,Haxorus,Dragon,,76,147,90,60,70,97,Rivalry,Mold Breaker,Unnerve
327,Yamask,Ghost,,38,55,85,30,65,30,Wandering Spirit,,
328,Runerigus,Ground,Ghost,58,95,145,50,105,30,Wandering Spirit,,
329,Cofagrigus,Ghost,,58,50,145,95,105,30,Mummy,,
330,Honedge,Steel,Ghost,45,80,100,35,37,28,No Guard,,
331,Doublade,Steel,Ghost,59,110,150,45,49,35,No Guard,,
332,Aegislash,Steel,Ghost,60,50,140,50,140,60,Stance Change,,
333,Ponyta,Fire,,50,85,55,65,65,90,Run Away,Pastel Veil,Anticipation
334,Rapidash,Fire,,65,100,70,80,80,105,Run Away,Pastel Veil,Anticipation
335,Sinistea,Ghost,,40,45,45,74,54,50,Weak Armor,Cursed Body,
336,Polteageist,Ghost,,60,65,65,134,114,70,Weak Armor,Cursed Body,
337,Indeedee,Psychic,Normal,60,65,55,105,95,95,Inner Focus,Synchronize,Psychic Surge
338,Phantump,Ghost,Grass,43,70,48,50,60,38,Natural Cure,Frisk,Harvest
339,Trevenant,Ghost,Grass,85,110,76,65,82,56,Natural Cure,Frisk,Harvest
340,Morelull,Grass,Fairy,40,35,55,65,75,15,Illuminate,Effect Spore,Rain Dish
341,Shiinotic,Grass,Fairy,60,45,80,90,100,30,Illuminate,Effect Spore,Rain Dish
342,Oranguru,Normal,Psychic,90,60,80,90,110,60,Inner Focus,Telepathy,Symbiosis
343,Passimian,Fighting,,100,120,90,40,60,80,Receiver,Defiant,
344,Morpeko,Electric,Dark,58,95,58,70,58,97,Hunger Switch,,
345,Falinks,Fighting,,65,100,100,70,60,75,Battle Armor,Defiant,
346,Drampa,Normal,Dragon,78,60,85,135,91,36,Berserk,Sap Sipper,Cloud Nine
347,Turtonator,Fire,Dragon,60,78,135,91,85,36,Shell Armor,,
348,Togedemaru,Electric,Steel,65,98,63,40,73,96,Iron Barbs,Lightning Rod,Sturdy
349,Snom,Ice,Bug,30,25,35,45,30,20,Shield Dust,Ice Scales,
350,Frosmoth,Ice,Bug,70,65,60,125,90,65,Shield Dust,Ice Scales,
351,Clobbopus,Fighting,,50,68,60,50,50,32,Limber,Technician,
352,Grapploct,Fighting,,80,118,90,70,80,42,Limber,Technician,
353,Pincurchin,Electric,,48,101,95,91,85,15,Lightning Rod,Electric Surge,
354,Mantyke,Water,Flying,45,20,50,60,120,50,Swift Swim,Water Absorb,Water Veil
355,Mantine,Water,Flying,85,40,70,80,140,70,Swift Swim,Water Absorb,Water Veil
356,Wailmer,Water,,130,70,35,70,35,60,Water Veil,Oblivious,Pressure
357,Wailord,Water,,170,90,45,90,45,60,Water Veil,Oblivious,Pressure
358,Bergmite,Ice,,55,69,85,32,35,28,Own Tempo,Ice Body,Sturdy
359,Avalugg,Ice,,95,117,184,44,46,28,Own Tempo,Ice Body,Sturdy
360,Dhelmise,Ghost,Grass,70,131,100,86,90,40,Steelworker,,
361,Lapras,Water,Ice,130,85,80,85,95,60,Water Absorb,Shell Armor,Hydration
362,Lunatone,Rock,Psychic,90,55,65,95,85,70,Levitate,,
363,Solrock,Rock,Psychic,90,95,85,55,65,70,Levitate,,
364,Mime,Jr.,¡¤,20,25,45,70,90,60,Soundproof,Filter,Technician
365,Mr.,Mime,¡¤,50,65,65,90,90,100,Vital Spirit,Screen Cleaner,Ice Body
366,Mr.,Rime,¡¤,80,85,75,110,100,70,Tangled Feet,Screen Cleaner,Ice Body
367,Darumaka,Fire,,70,90,45,15,45,50,Hustle,Inner Focus,
368,Darmanitan,Fire,,105,140,55,30,55,95,Gorilla Tactics,Zen Mode,
369,Stonjourner,Rock,,100,125,135,20,20,70,Power Spot,,
370,Eiscue,Ice,,75,80,110,65,90,50,Ice Face,,
371,Duraludon,Steel,Dragon,70,95,115,120,50,85,Light Metal,Heavy Metal,Stalwart
372,Rotom,Electric,Ghost,50,50,77,95,77,91,Levitate,,
373,Ditto,Normal,,48,48,48,48,48,48,Limber,Imposter,
374,Dracozolt,Electric,Dragon,90,100,90,80,70,75,Volt Absorb,Hustle,Sand Rush
375,Arctozolt,Electric,Ice,90,100,90,90,80,55,Volt Absorb,Static,Slush Rush
376,Dracovish,Water,Dragon,90,90,100,70,80,75,Water Absorb,Strong Jaw,Sand Rush
377,Arctovish,Water,Ice,90,90,100,80,90,55,Water Absorb,Ice Body,Slush Rush
378,Charmander,Fire,,39,52,43,60,50,65,Blaze,Solar Power,
379,Charmeleon,Fire,,58,64,58,80,65,80,Blaze,Solar Power,
380,Charizard,Fire,Flying,78,84,78,109,85,100,Blaze,Solar Power,
381,Type:,Null,,95,95,95,95,95,59,Battle Armor,,
382,Silvally,Normal,,95,95,95,95,95,95,RKS System,,
383,Larvitar,Rock,Ground,50,64,50,45,50,41,Guts,Sand Veil,
384,Pupitar,Rock,Ground,70,84,70,65,70,51,Shed Skin,,
385,Tyranitar,Rock,Dark,100,134,110,95,100,61,Sand Stream,Unnerve,
386,Deino,Dark,Dragon,52,65,50,45,50,38,Hustle,,
387,Zweilous,Dark,Dragon,72,85,70,65,70,58,Hustle,,
388,Hydreigon,Dark,Dragon,92,105,90,125,90,98,Levitate,,
389,Goomy,Dragon,,45,50,35,55,75,40,Sap Sipper,Hydration,Gooey
390,Sliggoo,Dragon,,68,75,53,83,113,60,Sap Sipper,Hydration,Gooey
391,Goodra,Dragon,,90,100,70,110,150,80,Sap Sipper,Hydration,Gooey
392,Jangmo-o,Dragon,,45,55,65,45,45,45,Bulletproof,Soundproof,Overcoat
393,Hakamo-o,Dragon,Fighting,55,75,90,65,70,65,Bulletproof,Soundproof,Overcoat
394,Kommo-o,Dragon,Fighting,75,110,125,100,105,85,Bulletproof,Soundproof,Overcoat
395,Dreepy,Dragon,Ghost,28,60,30,40,30,82,Clear Body,Infiltrator,Cursed Body
396,Drakloak,Dragon,Ghost,68,80,50,60,50,102,Clear Body,Infiltrator,Cursed Body
397,Dragapult,Dragon,Ghost,88,120,75,100,75,142,Clear Body,Infiltrator,Cursed Body
398,Zacian,Fairy,Steel,92,130,115,80,115,138,Intrepid Sword,,
399,Zamazenta,Fighting,Steel,92,130,115,80,115,138,Dauntless Shield,,
400,Eternatus,Poison,Dragon,140,85,95,145,95,130,Pressure,,
